Offer,UC1_priority,Active_flg_kd,Active_flg_fb,Active_flg_pt,Screen_Size, RRP ,Apollo_Price,Min_ Pack,start_year,start_month,start_day,end_year,end_month,end_day,Target_RLP_min,Target_RLP_max,min_CTR,min_landings,min_submits,min_S2L,max_CPS
Nice Number,6,0,1,0,,,,599,2016,12,6,2017,1,2,8000,,0.005,1,1,0.05,30
mnp-iphone-se,,,,,4,18800,5600,699,2016,11,21,2017,1,2,,20000,0.005,1,1,0.05,30
mnp-free-dtac-phone-s2,5,0,1,0,4.5,2590,490,399,2016,12,5,2017,1,1,,5000,0.005,1,1,0.05,30
mnp-vivo-v5,,,,,5.5,8990,5990,599,2016,12,12,2016,12,19,,,0.005,1,1,0.05,30
mnp-samsung-galaxy-j5-prime,3,1,1,1,5,7900,3900,599,2016,12,22,2017,2,28,,20000,0.005,1,1,0.05,30
mnp-samsung-galaxy-j2-prime,2,1,1,1,5,4490,1490,599,2017,1,2,2017,2,28,,12000,0.005,1,1,0.05,30
mnp-asus-zenfone-55,1,1,1,1,5.5,4990,0,599,2017,1,2,2017,2,13,,6000,0.005,1,1,0.05,30
Huawei Mate9,4,1,1,1,5.9,23900,15800,699,2017,1,2,2017,2,28,12000,,0.005,1,1,0.05,30
iphone-6-discount,,,,,4.7,27000,13500,599,2016,12,21,2017,1,30,10000,16000,0.005,1,1,0.05,30
mnp-huawei-mate9,,,,,5.9,23900,18900,,2016,12,21,2017,2,13,16000,,0.005,1,1,0.05,30
Dtac Phone M2,,,,,5,3490,490,,2016,12,26,2017,1,16,,10470,0.005,1,1,0.05,30
Nice number + Free S2,,,,,4.5,2590,490,,2017,1,2,2017,2,13,,7770,0.005,1,1,0.05,30
A9 Pro,,,,,6,15900,12900,,2017,1,9,2017,2,13,7950,,0.005,1,1,0.05,30
iPhone 7 (32GB),,,,,4.7,26500,,,2017,1,9,2017,2,27,13250,,0.005,1,1,0.05,30
Zenfone dtac Edition 4.5,,,,,4.5,3490,0,,2017,1,16,2017,2,13,,10470,0.005,1,1,0.05,30
Dtac Phone T2,,,,,5.3,3990,,,2017,1,16,2017,2,27,,11970,0.005,1,1,0.05,30
Samsung J2 Prime,,,,,5,4490,1990,,2017,1,16,2017,2,13,,13470,0.005,1,1,0.05,30
Huawei GR5,,,,,5.5,6990,2990,,2017,1,16,2017,2,13,,20970,0.005,1,1,0.05,30
Samsung J7 Prime,,,,,5.5,9900,5900,,2017,1,16,2017,2,13,,29700,0.005,1,1,0.05,30
Huawei Mate9,,,,,5.9,23900,15800,699,2017,1,2,2017,2,28,11950,,0.005,1,1,0.05,30
Voucher A discount,,,,,,20000,0,,2017,1,16,2017,2,27,10000,,0.005,1,1,0.05,30
mnp-vivo-v5,,,,,5.5,8990,5990,599,2017,1,30,2017,2,27,,26970,0.005,1,1,0.05,30
